ArtikkelNr;Beskr;LevNr;LevKod;LevFargKod;Sasong;KjedeInnkPris;TotalLagerBeh;RegistrertDato;SistEndretDato;Antall;But. med lager;Lager ant. pr. butikk;Strekkoder
9803361;RIB KNIT HAT G.N.H.;40;91020;285;201603;0;0;25/08/06;22/11/19;2;;;7322622675118
9805659;G.N.H. RIB KNIT HAT;40;91020;285;201703;0;0;11/09/07;22/11/19;2;;;7322624115032
9803365;RIB KNIT HAT G.N.H.;40;91020;5;201603;0;8;25/08/06;22/11/19;3;1;8;0200001109027,0200001109034,7322622673213
9805660;G.N.H. RIB KNIT HAT;40;91020;5;201703;0;0;11/09/07;22/11/19;3;;;0200001106743,0200001106750,7322624115124
9808634;RIB KNIT HAT;40;91020;5;201803;0;0;25/08/08;05/03/20;3;;;7322627446065
9803366;RIB KNIT HAT G.N.H.;40;91020;690;201603;0;0;25/08/06;22/11/19;2;;;7322622673435
9805661;G.N.H. RIB KNIT HAT;40;91020;690;201703;0;0;11/09/07;22/11/19;2;;;7322624114929
9803367;RIB KNIT HAT G.N.H.;40;91020;97;201603;0;8;25/08/06;22/11/19;3;1;8;0200001108907,0200001108914,7322622673305
9805663;G.N.H. RIB KNIT HAT;40;91020;97;201703;0;0;11/09/07;22/11/19;3;;;7322624115094
9808630;RIB KNIT HAT;40;91020;97;201803;0;0;25/08/08;22/11/19;3;;;7322627446089
9800889;BOYS IVY FLANNEL FF SL;40;912150;90;201503;0;0;13/09/05;15/11/19;2;;;7322628125426,7322628125433,7322628125440,7322628125457
9802988;FLANNEL PANTS FF SL;40;912150;90;201603;0;1;31/07/06;30/03/20;2;1;1;7322622044150,7322622044167,7322622044181,7322622044198
9828885;SOLID LAMBSWOOL SCARF;40;91470;405;201403;73,58;0;02/07/13;07/11/19;2;;;7321368962254
9837632;SOLID LAMBSWOOL SCARF;40;91470;405;201803;100,28;31;22/06/15;05/03/20;2;1|5|14|20;1|1|2|27;7325700518055
9829836;SOLID LAMBSWOOL SCARF;40;91470;5;201403;73,58;0;20/08/13;07/11/19;2;;;7321368962186
9838145;SOLID LAMBSWOOL SCARF;40;91470;5;201803;100,28;35;13/07/15;09/12/19;2;5|20;4|31;7325700517973
9828889;SOLID LAMBSWOOL SCARF;40;91470;94;201403;73,58;0;02/07/13;07/11/19;2;;;7321368962216
9851711;SOLID LAMBSWOOL SCARF;40;91470;94;201803;100,28;12;12/07/18;12/11/19;2;5|20;1|11;7325702668376
9832785;HOUNDSTOOTH SCARF;40;91486;5;201403;77,5;0;16/06/14;08/11/19;2;;;7321368962407
9844008;HOUNDSTOOTH WOVEN SCARF;40;91486;5;201603;97,01;0;13/09/16;08/11/19;2;;;7325701140996
9832787;HOUNDSTOOTH SCARF;40;91486;92;201403;77,5;0;16/06/14;05/03/20;2;;;7321368962414
9837640;HOUNDSTOOTH WOVEN SCARF;40;91486;92;201603;97,01;0;22/06/15;08/11/19;2;;;7325700518185
9826148;LAMBSWOOL 2X2 RIB HAT;40;91500;280;201203;54,95;0;03/10/12;05/03/20;2;;;7322629996964
9810802;SOLID LAMBSWOOL RIB HAT;40;91500;280;201803;0;0;19/08/09;22/11/19;2;;;7322629174607
9825538;LAMBSWOOL 2X2 RIB HAT;40;91500;5;201203;54,95;0;27/08/12;07/11/19;2;;;7322629992652
9810803;SOLID LAMBSWOOL RIB HAT;40;91500;5;201803;0;0;19/08/09;22/11/19;2;;;7322629174614
9825361;SOLID LAMBSWOOL RIB HAT;40;91500;92;201203;54,95;0;23/08/12;05/03/20;2;;;7322629997152
9810805;SOLID LAMBSWOOL RIB HAT;40;91500;92;201803;0;0;19/08/09;22/11/19;2;;;7322629174621
9803368;RIB KNIT SCARF G.N.H.;40;92020;280;201603;240;6;25/08/06;22/11/19;3;1;6;0200001108921,0200001108938,7322622669988
