ArtikkelNr;Varetekst;LevKod;LevFargKod;Sesong;MainGroup;MainGrpTekst;ArtGroup;ArtGrpTekst;VVarekostL10;AntL10;VerdiL10;VVarekostL40;AntL40;VerdiL40;TotAnt;TotVerdi;LC;VerdiLCL10;VerdiLCL40
9838758;G. THE PERFECT OXFORD LS BD;300010;468;201801;160;SHIRTS;10;MEN;315;78;24570;315;0;0;78;24570;133,2;10389,6;0
9838759;G. THE PERFECT OXFORD LS FBD;300012;110;201504;160;SHIRTS;10;MEN;315;223;70245;315;11;3465;234;73710;113,26;25256,98;1245,86
9838761;G. THE PERFECT OXFORD LS FBD;300012;468;201504;160;SHIRTS;10;MEN;315;29;9135;315;0;0;29;9135;113,26;3284,54;0
9838762;G. THE PERFECT OXFORD LS FBD;300012;661;201801;160;SHIRTS;10;MEN;315;104;32760;315;14;4410;118;37170;127,41;13250,64;1783,74
9838763;G. THE PERFECT OXFORD LS FBD;300012;731;201801;160;SHIRTS;10;MEN;315;8;2520;315;10;3150;18;5670;127,41;1019,28;1274,1
9838765;G. THE PERFECT OXFORD LS BD;300010;479;201801;160;SHIRTS;10;MEN;315;13;4095;315;0;0;13;4095;133,2;1731,6;0
9838766;G. THE PERFECT OXFORD LS BD;300010;661;201801;160;SHIRTS;10;MEN;315;46;14490;315;0;0;46;14490;133,2;6127,2;0
9838767;G. THE PERFECT OXFORD LS BD;300010;731;201801;160;SHIRTS;10;MEN;315;17;5355;315;0;0;17;5355;133,2;2264,4;0
9838810;STAR BORDER PILLOWCASE;851000301;277;201503;1010;D/D SOLID;90;HOME;222;0;0;222;1;222;1;222;104,48;0;104,48
9838822;STARS AND STRIPES PILLOWCASE;851003801;620;201503;1010;D/D SOLID;90;HOME;66,6;0;0;66,6;2;133,2;2;133,2;52,99;0;105,98
9838869;G. PERFECT OXFORD SHIRT;432366;110;201801;160;SHIRTS;40;WOMEN;345;11;3795;345;13;4485;24;8280;162,16;1783,76;2108,08
9838870;G. PERFECT OXFORD SHIRT;432366;468;201801;160;SHIRTS;40;WOMEN;300;4;1200;300;0;0;4;1200;162,16;648,64;0
9838871;G. PERFECT OXFORD SHIRT;432366;479;201801;160;SHIRTS;40;WOMEN;300;13;3900;300;0;0;13;3900;162,16;2108,08;0
9838872;G. PERFECT OXFORD SHIRT;432366;661;201801;160;SHIRTS;40;WOMEN;300;11;3300;300;9;2700;20;6000;162,16;1783,76;1459,44
9838873;G. PERFECT OXFORD SHIRT;432366;731;201801;160;SHIRTS;40;WOMEN;300;12;3600;300;8;2400;20;6000;162,16;1945,92;1297,28
9838874;G. PIN POINT OXFORD SHIRT;432367;110;201801;160;SHIRTS;40;WOMEN;375;13;4875;375;0;0;13;4875;173,75;2258,75;0
9838875;G. PIN POINT OXFORD SHIRT;432367;468;201801;160;SHIRTS;40;WOMEN;375;22;8250;375;2;750;24;9000;173,75;3822,5;347,5
9838876;G. PIN POINT OXFORD SHIRT;432367;661;201801;160;SHIRTS;40;WOMEN;375;35;13125;375;0;0;35;13125;173,75;6081,25;0
9838877;G. THE PINPOINT OXFORD LS BD;300000;110;201801;160;SHIRTS;10;MEN;385;26;10010;385;0;0;26;10010;156,37;4065,62;0
9838878;G. THE PINPOINT OXFORD LS BD;300000;468;201801;160;SHIRTS;10;MEN;385;2;770;385;0;0;2;770;156,37;312,74;0
9838879;G. THE PINPOINT OXFORD LS FBD;300002;110;201801;160;SHIRTS;10;MEN;385;19;7315;385;0;0;19;7315;150,58;2861,02;0
9838880;G. THE PINPOINT OXFORD LS FBD;300002;468;201801;160;SHIRTS;10;MEN;342;1;342;342;1;342;2;684;150,58;150,58;150,58
